backend,run_label,job_id,global_stability (%),local_A (%),local_B (%),asymmetry (%),shots
ibm_torino,A,d60fc93uf71s73cjnlvg,82.51,91.22,92.21,0.99,8192
ibm_torino,A,d60fc9ibju6s73bcugbg,81.40,89.26,87.26,2.00,8192
ibm_torino,A,d60fca2bju6s73bcugc0,82.71,91.30,91.39,0.10,8192
ibm_torino,A,d60fcahmvbjc73adhrl0,81.10,91.83,92.40,0.56,8192
ibm_torino,A,d60fcb3uf71s73cjnm2g,80.87,91.53,92.40,0.87,8192
ibm_torino,B,d60fcbjuf71s73cjnm3g,83.11,91.52,92.38,0.87,8192
ibm_torino,B,d60fcc57fc0s73av3gbg,82.56,90.39,91.41,1.01,8192
ibm_torino,B,d60fccabju6s73bcugg0,83.13,90.21,90.28,0.07,8192
ibm_torino,B,d60fcd3uf71s73cjnm60,79.91,88.00,90.50,2.50,8192
ibm_torino,B,d60fcdhmvbjc73adhrpg,81.42,89.42,90.30,0.88,8192
ibm_torino,C,d60fcdt7fc0s73av3ge0,81.65,91.38,91.97,0.59,8192
ibm_torino,C,d60fce9mvbjc73adhrqg,80.26,89.20,90.16,0.96,8192
ibm_torino,C,d60fceqbju6s73bcugl0,82.09,91.42,90.81,0.61,8192
ibm_torino,C,d60fcfabju6s73bcugm0,81.69,89.04,89.76,0.72,8192
ibm_torino,C,d60fcfqbju6s73bcugmg,81.16,90.78,91.77,0.99,8192
ibm_torino,D,d60fcgabju6s73bcugng,77.73,82.78,87.15,4.37,8192
ibm_torino,D,d60fcgpmvbjc73adhrtg,79.13,89.07,91.82,2.75,8192
ibm_torino,D,d60fchabju6s73bcugq0,79.64,88.28,86.12,2.16,8192
ibm_torino,D,d60fchpmvbjc73adhrvg,78.32,87.84,91.44,3.60,8192
ibm_torino,D,d60fciabju6s73bcugs0,78.27,88.39,91.67,3.28,8192
